Year,Month_reported,State, Crime_rate ,Crime_occurrence_frequency,Armed Robbery,Kidnapping,Oil Bunkering,Piracy,Cultism,Human Trafficking,Drug Trafficking,Vandalism,UnemploymentRate,PovertyRate,Most_prevalent_crime
2000,1,Abia, 23.6 ,57,Yes,Yes,Yes,No,Yes,No,Yes,No,30,50,Armed Robbery
2000,2,Abia, 33.9 ,93,No,Yes,No,Yes,No,No,No,No,30,50,Kidnapping
2000,3,Abia, 43.7 ,5,Yes,No,No,Yes,No,Yes,No,Yes,30,50,Armed Robbery
2000,4,Abia, 37.5 ,89,Yes,No,No,Yes,No,Yes,Yes,No,30,50,Armed Robbery
2000,5,Abia, 46.9 ,24,Yes,No,No,No,No,No,Yes,Yes,30,50,Armed Robbery
2000,6,Abia, 2.7 ,93,No,Yes,No,No,Yes,No,Yes,Yes,30,50,Kidnapping
2000,7,Abia, 0.6 ,64,Yes,Yes,No,No,No,Yes,Yes,No,30,50,Armed Robbery
2000,8,Abia, 33.1 ,59,Yes,Yes,No,Yes,No,No,Yes,No,30,50,Armed Robbery
2000,9,Abia, 14.5 ,38,Yes,No,Yes,No,No,Yes,No,No,30,50,Armed Robbery
2000,10,Abia, 12.7 ,33,No,No,Yes,Yes,Yes,Yes,Yes,No,30,50,Oil Bunkering
2000,11,Abia, 16.5 ,10,Yes,Yes,No,No,Yes,Yes,Yes,Yes,30,50,Armed Robbery
2000,12,Abia, 13.5 ,37,Yes,No,No,Yes,No,No,No,Yes,30,50,Armed Robbery
2001,1,Abia, 25.6 ,97,Yes,No,No,Yes,No,No,Yes,No,30,50,Armed Robbery
2001,2,Abia, 22.0 ,87,Yes,No,Yes,Yes,No,No,No,Yes,30,50,Armed Robbery
2001,3,Abia, 25.6 ,11,No,Yes,Yes,No,No,Yes,Yes,No,30,50,Kidnapping
2001,4,Abia, 33.6 ,24,Yes,No,No,Yes,No,Yes,No,No,30,50,Armed Robbery
2001,5,Abia, 19.4 ,88,No,No,No,No,No,Yes,Yes,No,30,50,Human Trafficking
2001,6,Abia, 12.6 ,71,No,Yes,Yes,No,Yes,No,No,No,30,50,Kidnapping
2001,7,Abia, 8.3 ,21,No,Yes,Yes,No,No,Yes,No,Yes,30,50,Kidnapping
2001,8,Abia, 17.5 ,20,Yes,No,Yes,No,No,Yes,Yes,Yes,30,50,Armed Robbery
2001,9,Abia, 37.1 ,10,No,No,Yes,No,No,No,Yes,No,30,50,Oil Bunkering
2001,10,Abia, 37.8 ,89,Yes,Yes,No,Yes,No,Yes,Yes,No,30,50,Armed Robbery
2001,11,Abia, 33.3 ,47,No,Yes,Yes,No,No,Yes,No,Yes,30,50,Kidnapping
2001,12,Abia, 11.7 ,47,No,No,Yes,No,No,No,No,Yes,30,50,Oil Bunkering
